Type,Place,Year,Foreign Number,Foreign Income,Local Number,Local Income
Wildlife Park,Horton Plains,2019,0.0,0.0,0.0,0.0
Wildlife Park,Hurulu Eco Park,2019,82724.0,62.8,0.0,0.0
Wildlife Park,Kalawewa,2019,0.0,0.0,0.0,0.0
Wildlife Park,Kaudulla,2019,0.0,0.0,0.0,0.0
Wildlife Park,Kumana,2019,0.0,0.0,0.0,0.0
Wildlife Park,Kumana Bird Sanctuary,2019,11471.0,0.07,0.0,0.0
Wildlife Park,Lahugala,2019,398.5,314611.5,0.0,0.0
Wildlife Park,Lunugamwehera,2019,0.0,0.0,0.0,0.0
Wildlife Park,Maduruoya,2019,0.0,0.0,0.0,0.0
Wildlife Park,Minneriya,2019,0.0,0.0,0.0,0.0
Wildlife Park,Mirissa,2019,0.0,0.0,0.0,0.0
Wildlife Park,Pigeon Island,2019,0.0,0.0,0.0,0.0
Wildlife Park,Udawalawa,2019,175251.0,2.6,0.0,0.0
Wildlife Park,Wasgomuwa,2019,0.0,0.0,0.0,0.0
Wildlife Park,Wilpattu,2019,63543.0,0.4,0.0,0.0
Wildlife Park,Yala,2019,206843.0,3.0,0.0,0.0
Zoological Garden,Dehiwala,2019,23667.0,35609400.0,1123287.0,97826210.0
Zoological Garden,Pinnawala,2019,198399.0,436803000.0,484268.0,93307460.0
Zoological Garden,Pinnawala,2019,3545.0,2188250.0,293658.0,24462010.0
Zoological Garden,Ridiyagama Safari Park,2019,954.0,2343700.0,315284.0,80835540.0
Botanical Garden,Avissawella,2020,121.0,237000.0,133987.0,11383100.0
Botanical Garden,Gampaha,2020,86.0,168000.0,67869.0,6284980.0
Botanical Garden,Ganewattha,2020,2.0,4000.0,405.0,34660.0
Botanical Garden,Hakgala,2020,5562.0,10790200.0,210717.0,16870260.0
Botanical Garden,Mirijawila,2020,60.0,115400.0,40978.0,2791040.0
Botanical Garden,Mirijjawila Botanical Garden,2020,384.0,763387.5,83593.75,5215960.0
Botanical Garden,Peradeniya,2020,87554.0,17051040.0,359456.0,30548640.0
Conservation Forest,Adahalena Ella (Galle),2020,0.0,0.0,0.0,0.0
Conservation Forest,Badagamuwa Ecological Zone,2020,0.0,0.0,0.0,0.0
Conservation Forest,Badulla,2020,0.0,0.0,0.0,0.0
Conservation Forest,Badulla Haputhale,2020,0.0,0.0,0.0,0.0
Conservation Forest,Dolukanda,2020,0.0,0.0,0.0,0.0
Conservation Forest,Ek Gal Oya,2020,0.0,0.0,0.0,0.0
Conservation Forest,Gal Oya,2020,0.0,0.0,0.0,0.0
Conservation Forest,Galwila Eco Park,2020,0.0,0.0,0.0,0.0
Conservation Forest,Geradigala,2020,0.0,0.0,0.0,0.0
Conservation Forest,Hurulu Eco Park,2020,45267.0,53483400.0,21362.0,1461705.0
Conservation Forest,Kande Ela Forest,2020,0.0,0.0,0.0,0.0
Conservation Forest,Kande Ela Nuwara Eliya,2020,0.0,0.0,0.0,0.0
Conservation Forest,Kanneliya Conservation Forest,2020,868.0,586600.0,18959.0,475425.0
Conservation Forest,Knuckles Conservation Forest,2020,491.0,326508.0,38161.0,1017069.0
Conservation Forest,Kottawa Conservation Forest,2020,66.0,45500.0,899.0,25767.0
Conservation Forest,Kurulukele,2020,0.0,0.0,0.0,0.0
Conservation Forest,Makandawa Conservation Forest,2020,0.0,0.0,0.0,0.0
